2026-01-20 11:11:58,914 | __main__ | INFO | ===========================================================================
2026-01-20 11:11:58,914 | news_collector | INFO | ======================================================================
2026-01-20 11:11:58,914 | news_collector | INFO | 📥 COLLECTE ARTICLES - Début
2026-01-20 11:11:58,914 | news_collector | INFO | ======================================================================
2026-01-20 11:11:58,915 | news_collector | INFO | 🔄 Collecte HackerNews...
2026-01-20 11:11:58,915 | news_collector | INFO |   Scraping page 1/2
2026-01-20 11:12:01,658 | news_collector | INFO |   Scraping page 2/2
2026-01-20 11:12:03,886 | news_collector | INFO | ✅ HackerNews: 60 articles collectés
2026-01-20 11:12:03,887 | news_collector | INFO | 🔄 Collecte RSS: https://pycoders.com/feed
2026-01-20 11:12:04,345 | news_collector | INFO | ✅ RSS: 3 articles collectés
2026-01-20 11:12:04,345 | news_collector | INFO | ======================================================================
2026-01-20 11:12:04,346 | news_collector | INFO | 📊 RÉSUMÉ COLLECTE
2026-01-20 11:12:04,346 | news_collector | INFO |    Total articles : 63
2026-01-20 11:12:04,346 | news_collector | INFO |    Total erreurs : 0
2026-01-20 11:12:04,346 | news_collector | INFO | ======================================================================
2026-01-20 11:12:04,348 | news_collector | INFO | ✅ Articles sauvegardés: data/articles_raw.jsonl
2026-01-20 11:12:04,348 | news_collector | INFO | ✅ Erreurs sauvegardées: data/collection_errors.json
2026-01-20 11:12:04,349 | __main__ | INFO | ✅ ÉTAPE 1 COMPLÉTÉE : 63 articles collectés
2026-01-20 11:12:04,349 | __main__ | INFO | 
===========================================================================
2026-01-20 11:12:04,349 | __main__ | INFO | ÉTAPE 2 : PRÉTRAITEMENT NLP
2026-01-20 11:12:04,349 | __main__ | INFO | ===========================================================================
2026-01-20 11:12:07,262 | text_preprocessor | INFO | ✅ Modèle spaCy chargé: fr_core_news_sm
2026-01-20 11:12:07,262 | text_preprocessor | INFO | 🔧 Preprocessing 63 articles...
2026-01-20 11:12:07,477 | text_preprocessor | INFO |   ✓ 20/63 articles
2026-01-20 11:12:07,666 | text_preprocessor | INFO |   ✓ 40/63 articles
2026-01-20 11:12:07,853 | text_preprocessor | INFO |   ✓ 60/63 articles
